"best"
"1555392_at"
"1559149_at"
"1561341_at"
"1562828_at"
"200715_x_at"
"200903_s_at"
"201209_at"
"201416_at"
"202719_s_at"
"203576_at"
"203607_at"
"204457_s_at"
"204546_at"
"205637_s_at"
"205667_at"
"206017_at"
"206456_at"
"212288_at"
"212774_at"
"215028_at"
"215047_at"
"215531_s_at"
"217626_at"
"218479_s_at"
"218736_s_at"
"220111_s_at"
"221798_x_at"
"222725_s_at"
"224539_s_at"
"224955_at"
"225381_at"
"225512_at"
"225955_at"
"226049_at"
"226796_at"
"227439_at"
"227785_at"
"228665_at"
"230902_at"
"231325_at"
"231631_at"
"231776_at"
"232003_at"
"232069_at"
"232113_at"
"232286_at"
"233546_at"
"235004_at"
"235044_at"
"238850_at"
"241411_at"
"241881_at"
"242527_at"
"243428_at"
"243435_at"
"244370_at"
"200807_s_at"
"200845_s_at"
"202260_s_at"
"204105_s_at"
"205378_s_at"
"205493_s_at"
"206186_at"
"208692_at"
"210271_at"
"212713_at"
"214925_s_at"
"215290_at"
"216132_at"
"218394_at"
"221883_at"
"221923_s_at"
"224092_at"
"227290_at"
"227441_s_at"
"230019_s_at"
"230765_at"
"241505_at"
"242959_at"
"243521_at"
"244076_at"
